Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,0,128,22
100,2,8,0,128,19
100,5,8,0,128,10
100,4,8,0,128,42
100,6,8,0,128,10
100,7,8,0,128,10
100,8,8,0,128,10
100,9,8,0,128,10
100,10,8,0,128,10
100,11,8,0,128,10
100,12,8,0,128,10
100,13,8,0,128,10
100,14,8,0,128,10
930,1,8,0,128,22
930,2,8,0,128,19
930,5,8,0,128,93
930,4,8,0,128,125
930,6,8,0,128,93
930,7,8,0,128,93
930,8,8,0,128,93
930,9,8,0,128,93
930,10,8,0,128,93
930,11,8,0,128,93
930,12,8,0,128,93
930,13,8,0,128,93
930,14,8,0,128,93
1760,1,8,0,128,22
1760,2,8,0,128,19
1760,5,8,0,128,176
1760,4,8,0,128,208
1760,6,8,0,128,176
1760,7,8,0,128,176
1760,8,8,0,128,176
1760,9,8,0,128,176
1760,10,8,0,128,176
1760,11,8,0,128,176
1760,12,8,0,128,176
1760,13,8,0,128,176
1760,14,8,0,128,176
2650,1,8,0,128,22
2650,2,8,0,128,19
2650,5,8,0,128,265
2650,4,8,0,128,297
2650,6,8,0,128,265
2650,7,8,0,128,265
2650,8,8,0,128,265
2650,9,8,0,128,265
2650,10,8,0,128,265
2650,11,8,0,128,265
2650,12,8,0,128,265
2650,13,8,0,128,265
2650,14,8,0,128,265
3480,1,8,0,128,22
3480,2,8,0,128,19
3480,5,8,0,128,348
3480,4,8,0,128,380
3480,6,8,0,128,348
3480,7,8,0,128,348
3480,8,8,0,128,348
3480,9,8,0,128,348
3480,10,8,0,128,348
3480,11,8,0,128,348
3480,12,8,0,128,348
3480,13,8,0,128,348
3480,14,8,0,128,348
4360,1,8,0,128,22
4360,2,8,0,128,19
4360,5,8,0,128,436
4360,4,8,0,128,468
4360,6,8,0,128,436
4360,7,8,0,128,436
4360,8,8,0,128,436
4360,9,8,0,128,436
4360,10,8,0,128,436
4360,11,8,0,128,436
4360,12,8,0,128,436
4360,13,8,0,128,436
4360,14,8,0,128,436
5190,1,8,0,128,22
5190,2,8,0,128,19
5190,5,8,0,128,519
5190,4,8,0,128,551
5190,6,8,0,128,519
5190,7,8,0,128,519
5190,8,8,0,128,519
5190,9,8,0,128,519
5190,10,8,0,128,519
5190,11,8,0,128,519
5190,12,8,0,128,519
5190,13,8,0,128,519
5190,14,8,0,128,519
6070,1,8,0,128,22
6070,2,8,0,128,19
6070,5,8,0,128,607
6070,4,8,0,128,639
6070,6,8,0,128,607
6070,7,8,0,128,607
6070,8,8,0,128,607
6070,9,8,0,128,607
6070,10,8,0,128,607
6070,11,8,0,128,607
6070,12,8,0,128,607
6070,13,8,0,128,607
6070,14,8,0,128,607
6900,1,8,0,128,22
6900,2,8,0,128,19
6900,5,8,0,128,690
6900,4,8,0,128,722
6900,6,8,0,128,690
6900,7,8,0,128,690
6900,8,8,0,128,690
6900,9,8,0,128,690
6900,10,8,0,128,690
6900,11,8,0,128,690
6900,12,8,0,128,690
6900,13,8,0,128,690
6900,14,8,0,128,690
7780,1,8,0,128,22
7780,2,8,0,128,19
7780,5,8,0,128,778
7780,4,8,0,128,810
7780,6,8,0,128,778
7780,7,8,0,128,778
7780,8,8,0,128,778
7780,9,8,0,128,778
7780,10,8,0,128,778
7780,11,8,0,128,778
7780,12,8,0,128,778
7780,13,8,0,128,778
7780,14,8,0,128,778
8610,1,8,0,128,22
8610,2,8,0,128,19
8610,5,8,0,128,861
8610,4,8,0,128,893
8610,6,8,0,128,861
8610,7,8,0,128,861
8610,8,8,0,128,861
8610,9,8,0,128,861
8610,10,8,0,128,861
8610,11,8,0,128,861
8610,12,8,0,128,861
8610,13,8,0,128,861
8610,14,8,0,128,861
9490,1,8,0,128,22
9490,2,8,0,128,19
9490,5,8,0,128,949
9490,4,8,0,128,981
9490,6,8,0,128,949
9490,7,8,0,128,949
9490,8,8,0,128,949
9490,9,8,0,128,949
9490,10,8,0,128,949
9490,11,8,0,128,949
9490,12,8,0,128,949
9490,13,8,0,128,949
9490,14,8,0,128,949
10320,1,8,0,128,22
10320,2,8,0,128,19
10320,5,8,0,128,1032
10320,4,8,0,128,1064
10320,6,8,0,128,1032
10320,7,8,0,128,1032
10320,8,8,0,128,1032
10320,9,8,0,128,1032
10320,10,8,0,128,1032
10320,11,8,0,128,1032
10320,12,8,0,128,1032
10320,13,8,0,128,1032
10320,14,8,0,128,1032
11200,1,8,0,128,22
11200,2,8,0,128,19
11200,5,8,0,128,1120
11200,4,8,0,128,1152
11200,6,8,0,128,1120
11200,7,8,0,128,1120
11200,8,8,0,128,1120
11200,9,8,0,128,1120
11200,10,8,0,128,1120
11200,11,8,0,128,1120
11200,12,8,0,128,1120
11200,13,8,0,128,1120
11200,14,8,0,128,1120
12030,1,8,0,128,22
12030,2,8,0,128,19
12030,5,8,0,128,1203
12030,4,8,0,128,1235
12030,6,8,0,128,1203
12030,7,8,0,128,1203
12030,8,8,0,128,1203
12030,9,8,0,128,1203
12030,10,8,0,128,1203
12030,11,8,0,128,1203
12030,12,8,0,128,1203
12030,13,8,0,128,1203
12030,14,8,0,128,1203
12910,1,8,0,128,22
12910,2,8,0,128,19
12910,5,8,0,128,1291
12910,4,8,0,128,1323
12910,6,8,0,128,1291
12910,7,8,0,128,1291
12910,8,8,0,128,1291
12910,9,8,0,128,1291
12910,10,8,0,128,1291
12910,11,8,0,128,1291
12910,12,8,0,128,1291
12910,13,8,0,128,1291
12910,14,8,0,128,1291
13740,1,8,0,128,22
13740,2,8,0,128,19
13740,5,8,0,128,1374
13740,4,8,0,128,1406
13740,6,8,0,128,1374
13740,7,8,0,128,1374
13740,8,8,0,128,1374
13740,9,8,0,128,1374
13740,10,8,0,128,1374
13740,11,8,0,128,1374
13740,12,8,0,128,1374
13740,13,8,0,128,1374
13740,14,8,0,128,1374
14620,1,8,0,128,22
14620,2,8,0,128,19
14620,5,8,0,128,1462
14620,4,8,0,128,1494
14620,6,8,0,128,1462
14620,7,8,0,128,1462
14620,8,8,0,128,1462
14620,9,8,0,128,1462
14620,10,8,0,128,1462
14620,11,8,0,128,1462
14620,12,8,0,128,1462
14620,13,8,0,128,1462
14620,14,8,0,128,1462
15500,1,8,0,128,22
15500,2,8,0,128,19
15500,5,8,0,128,1550
15500,4,8,0,128,1582
15500,6,8,0,128,1550
15500,7,8,0,128,1550
15500,8,8,0,128,1550
15500,9,8,0,128,1550
15500,10,8,0,128,1550
15500,11,8,0,128,1550
15500,12,8,0,128,1550
15500,13,8,0,128,1550
15500,14,8,0,128,1550
16330,1,8,0,128,22
16330,2,8,0,128,19
16330,5,8,0,128,1633
16330,4,8,0,128,1665
16330,6,8,0,128,1633
16330,7,8,0,128,1633
16330,8,8,0,128,1633
16330,9,8,0,128,1633
16330,10,8,0,128,1633
16330,11,8,0,128,1633
16330,12,8,0,128,1633
16330,13,8,0,128,1633
16330,14,8,0,128,1633
17210,1,8,0,128,22
17210,2,8,0,128,19
17210,5,8,0,128,1721
17210,4,8,0,128,1753
17210,6,8,0,128,1721
17210,7,8,0,128,1721
17210,8,8,0,128,1721
17210,9,8,0,128,1721
17210,10,8,0,128,1721
17210,11,8,0,128,1721
17210,12,8,0,128,1721
17210,13,8,0,128,1721
17210,14,8,0,128,1721
17210,15,8,0,128,0
17210,16,8,0,128,0
17210,17,8,0,128,0
17210,18,8,0,128,0
17210,19,8,0,128,0
17210,20,8,0,128,0
19115,1,8,0,128,22
19115,2,8,0,128,19
19115,5,8,0,128,1840
19115,4,8,0,128,1872
19115,6,8,0,128,1840
19115,7,8,0,128,1840
19115,8,8,0,128,1840
19115,9,8,0,128,1840
19115,10,8,0,128,1840
19115,11,8,0,128,1840
19115,12,8,0,128,1840
19115,13,8,0,128,1840
19115,14,8,0,128,1840
19115,15,8,0,128,119
19115,16,8,0,128,119
19115,17,8,0,128,119
19115,18,8,0,128,119
19115,19,8,0,128,119
19115,20,8,0,128,119
21083,1,8,0,128,22
21083,2,8,0,128,19
21083,5,8,0,128,1963
21083,4,8,0,128,1995
21083,6,8,0,128,1963
21083,7,8,0,128,1963
21083,8,8,0,128,1963
21083,9,8,0,128,1963
21083,10,8,0,128,1963
21083,11,8,0,128,1963
21083,12,8,0,128,1963
21083,13,8,0,128,1963
21083,14,8,0,128,1963
21083,15,8,0,128,242
21083,16,8,0,128,242
21083,17,8,0,128,242
21083,18,8,0,128,242
21083,19,8,0,128,242
21083,20,8,0,128,242
23115,1,8,0,128,22
23115,2,8,0,128,19
23115,5,8,0,128,2090
23115,4,8,0,128,2122
23115,6,8,0,128,2090
23115,7,8,0,128,2090
23115,8,8,0,128,2090
23115,9,8,0,128,2090
23115,10,8,0,128,2090
23115,11,8,0,128,2090
23115,12,8,0,128,2090
23115,13,8,0,128,2090
23115,14,8,0,128,2090
23115,15,8,0,128,369
23115,16,8,0,128,369
23115,17,8,0,128,369
23115,18,8,0,128,369
23115,19,8,0,128,369
23115,20,8,0,128,369
25115,1,8,0,128,22
25115,2,8,0,128,19
25115,5,8,0,128,2215
25115,4,8,0,128,2247
25115,6,8,0,128,2215
25115,7,8,0,128,2215
25115,8,8,0,128,2215
25115,9,8,0,128,2215
25115,10,8,0,128,2215
25115,11,8,0,128,2215
25115,12,8,0,128,2215
25115,13,8,0,128,2215
25115,14,8,0,128,2215
25115,15,8,0,128,494
25115,16,8,0,128,494
25115,17,8,0,128,494
25115,18,8,0,128,494
25115,19,8,0,128,494
25115,20,8,0,128,494
27115,1,8,0,128,22
27115,2,8,0,128,19
27115,5,8,0,128,2340
27115,4,8,0,128,2372
27115,6,8,0,128,2340
27115,7,8,0,128,2340
27115,8,8,0,128,2340
27115,9,8,0,128,2340
27115,10,8,0,128,2340
27115,11,8,0,128,2340
27115,12,8,0,128,2340
27115,13,8,0,128,2340
27115,14,8,0,128,2340
27115,15,8,0,128,619
27115,16,8,0,128,619
27115,17,8,0,128,619
27115,18,8,0,128,619
27115,19,8,0,128,619
27115,20,8,0,128,619
29003,1,8,0,128,22
29003,2,8,0,128,19
29003,5,8,0,128,2458
29003,4,8,0,128,2490
29003,6,8,0,128,2458
29003,7,8,0,128,2458
29003,8,8,0,128,2458
29003,9,8,0,128,2458
29003,10,8,0,128,2458
29003,11,8,0,128,2458
29003,12,8,0,128,2458
29003,13,8,0,128,2458
29003,14,8,0,128,2458
29003,15,8,0,128,737
29003,16,8,0,128,737
29003,17,8,0,128,737
29003,18,8,0,128,737
29003,19,8,0,128,737
29003,20,8,0,128,737
31003,1,8,0,128,22
31003,2,8,0,128,19
31003,5,8,0,128,2583
31003,4,8,0,128,2615
31003,6,8,0,128,2583
31003,7,8,0,128,2583
31003,8,8,0,128,2583
31003,9,8,0,128,2583
31003,10,8,0,128,2583
31003,11,8,0,128,2583
31003,12,8,0,128,2583
31003,13,8,0,128,2583
31003,14,8,0,128,2583
31003,15,8,0,128,862
31003,16,8,0,128,862
31003,17,8,0,128,862
31003,18,8,0,128,862
31003,19,8,0,128,862
31003,20,8,0,128,862
33003,1,8,0,128,22
33003,2,8,0,128,19
33003,5,8,0,128,2708
33003,4,8,0,128,2740
33003,6,8,0,128,2708
33003,7,8,0,128,2708
33003,8,8,0,128,2708
33003,9,8,0,128,2708
33003,10,8,0,128,2708
33003,11,8,0,128,2708
33003,12,8,0,128,2708
33003,13,8,0,128,2708
33003,14,8,0,128,2708
33003,15,8,0,128,987
33003,16,8,0,128,987
33003,17,8,0,128,987
33003,18,8,0,128,987
33003,19,8,0,128,987
33003,20,8,0,128,987
35003,1,8,0,128,22
35003,2,8,0,128,19
35003,5,8,0,128,2833
35003,4,8,0,128,2865
35003,6,8,0,128,2833
35003,7,8,0,128,2833
35003,8,8,0,128,2833
35003,9,8,0,128,2833
35003,10,8,0,128,2833
35003,11,8,0,128,2833
35003,12,8,0,128,2833
35003,13,8,0,128,2833
35003,14,8,0,128,2833
35003,15,8,0,128,1112
35003,16,8,0,128,1112
35003,17,8,0,128,1112
35003,18,8,0,128,1112
35003,19,8,0,128,1112
35003,20,8,0,128,1112
36891,1,8,0,128,22
36891,2,8,0,128,19
36891,5,8,0,128,2951
36891,4,8,0,128,2983
36891,6,8,0,128,2951
36891,7,8,0,128,2951
36891,8,8,0,128,2951
36891,9,8,0,128,2951
36891,10,8,0,128,2951
36891,11,8,0,128,2951
36891,12,8,0,128,2951
36891,13,8,0,128,2951
36891,14,8,0,128,2951
36891,15,8,0,128,1230
36891,16,8,0,128,1230
36891,17,8,0,128,1230
36891,18,8,0,128,1230
36891,19,8,0,128,1230
36891,20,8,0,128,1230
38891,1,8,0,128,22
38891,2,8,0,128,19
38891,5,8,0,128,3076
38891,4,8,0,128,3108
38891,6,8,0,128,3076
38891,7,8,0,128,3076
38891,8,8,0,128,3076
38891,9,8,0,128,3076
38891,10,8,0,128,3076
38891,11,8,0,128,3076
38891,12,8,0,128,3076
38891,13,8,0,128,3076
38891,14,8,0,128,3076
38891,15,8,0,128,1355
38891,16,8,0,128,1355
38891,17,8,0,128,1355
38891,18,8,0,128,1355
38891,19,8,0,128,1355
38891,20,8,0,128,1355
40891,1,8,0,128,22
40891,2,8,0,128,19
40891,5,8,0,128,3201
40891,4,8,0,128,3233
40891,6,8,0,128,3201
40891,7,8,0,128,3201
40891,8,8,0,128,3201
40891,9,8,0,128,3201
40891,10,8,0,128,3201
40891,11,8,0,128,3201
40891,12,8,0,128,3201
40891,13,8,0,128,3201
40891,14,8,0,128,3201
40891,15,8,0,128,1480
40891,16,8,0,128,1480
40891,17,8,0,128,1480
40891,18,8,0,128,1480
40891,19,8,0,128,1480
40891,20,8,0,128,1480
42859,1,8,0,128,22
42859,2,8,0,128,19
42859,5,8,0,128,3324
42859,4,8,0,128,3356
42859,6,8,0,128,3324
42859,7,8,0,128,3324
42859,8,8,0,128,3324
42859,9,8,0,128,3324
42859,10,8,0,128,3324
42859,11,8,0,128,3324
42859,12,8,0,128,3324
42859,13,8,0,128,3324
42859,14,8,0,128,3324
42859,15,8,0,128,1603
42859,16,8,0,128,1603
42859,17,8,0,128,1603
42859,18,8,0,128,1603
42859,19,8,0,128,1603
42859,20,8,0,128,1603
44859,1,8,0,128,22
44859,2,8,0,128,19
44859,5,8,0,128,3449
44859,4,8,0,128,3481
44859,6,8,0,128,3449
44859,7,8,0,128,3449
44859,8,8,0,128,3449
44859,9,8,0,128,3449
44859,10,8,0,128,3449
44859,11,8,0,128,3449
44859,12,8,0,128,3449
44859,13,8,0,128,3449
44859,14,8,0,128,3449
44859,15,8,0,128,1728
44859,16,8,0,128,1728
44859,17,8,0,128,1728
44859,18,8,0,128,1728
44859,19,8,0,128,1728
44859,20,8,0,128,1728
46747,1,8,0,128,22
46747,2,8,0,128,19
46747,5,8,0,128,3567
46747,4,8,0,128,3599
46747,6,8,0,128,3567
46747,7,8,0,128,3567
46747,8,8,0,128,3567
46747,9,8,0,128,3567
46747,10,8,0,128,3567
46747,11,8,0,128,3567
46747,12,8,0,128,3567
46747,13,8,0,128,3567
46747,14,8,0,128,3567
46747,15,8,0,128,1846
46747,16,8,0,128,1846
46747,17,8,0,128,1846
46747,18,8,0,128,1846
46747,19,8,0,128,1846
46747,20,8,0,128,1846
48747,1,8,0,128,22
48747,2,8,0,128,19
48747,5,8,0,128,3692
48747,4,8,0,128,3724
48747,6,8,0,128,3692
48747,7,8,0,128,3692
48747,8,8,0,128,3692
48747,9,8,0,128,3692
48747,10,8,0,128,3692
48747,11,8,0,128,3692
48747,12,8,0,128,3692
48747,13,8,0,128,3692
48747,14,8,0,128,3692
48747,15,8,0,128,1971
48747,16,8,0,128,1971
48747,17,8,0,128,1971
48747,18,8,0,128,1971
48747,19,8,0,128,1971
48747,20,8,0,128,1971
50715,1,8,0,128,22
50715,2,8,0,128,19
50715,5,8,0,128,3815
50715,4,8,0,128,3847
50715,6,8,0,128,3815
50715,7,8,0,128,3815
50715,8,8,0,128,3815
50715,9,8,0,128,3815
50715,10,8,0,128,3815
50715,11,8,0,128,3815
50715,12,8,0,128,3815
50715,13,8,0,128,3815
50715,14,8,0,128,3815
50715,15,8,0,128,2094
50715,16,8,0,128,2094
50715,17,8,0,128,2094
50715,18,8,0,128,2094
50715,19,8,0,128,2094
50715,20,8,0,128,2094
52715,1,8,0,128,22
52715,2,8,0,128,19
52715,5,8,0,128,3940
52715,4,8,0,128,3972
52715,6,8,0,128,3940
52715,7,8,0,128,3940
52715,8,8,0,128,3940
52715,9,8,0,128,3940
52715,10,8,0,128,3940
52715,11,8,0,128,3940
52715,12,8,0,128,3940
52715,13,8,0,128,3940
52715,14,8,0,128,3940
52715,15,8,0,128,2219
52715,16,8,0,128,2219
52715,17,8,0,128,2219
52715,18,8,0,128,2219
