Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,512,128,24
100,2,8,640,128,18
100,5,1,2320,1024,1
100,4,8,1167,128,132
100,6,2,1309,512,1
100,7,4,1355,256,3
100,8,8,1280,128,6
100,9,16,1263,64,12
100,10,32,1236,32,23
100,11,32,1213,32,22
100,12,32,1235,32,17
100,13,32,1245,32,17
100,14,32,1222,32,16
228,1,8,512,128,24
228,2,8,640,128,18
228,5,1,2320,1024,1
228,4,8,1417,128,260
228,6,2,2333,512,3
228,7,4,2123,256,6
228,8,8,1920,128,11
228,9,16,1967,64,23
228,10,32,1908,32,44
228,11,32,1917,32,44
228,12,32,1907,32,38
228,13,32,1917,32,38
228,14,32,1926,32,38
362,1,8,512,128,24
362,2,8,640,128,18
362,5,1,3344,1024,2
362,4,8,1667,128,394
362,6,2,2845,512,4
362,7,4,2635,256,8
362,8,8,2688,128,17
362,9,16,2671,64,34
362,10,32,2644,32,67
362,11,32,2621,32,66
362,12,32,2643,32,61
362,13,32,2653,32,61
362,14,32,2630,32,60
490,1,8,512,128,24
490,2,8,640,128,18
490,5,1,3344,1024,2
490,4,8,1917,128,522
490,6,2,3357,512,5
490,7,4,3403,256,11
490,8,8,3328,128,22
490,9,16,3375,64,45
490,10,32,3316,32,88
490,11,32,3325,32,88
490,12,32,3347,32,83
490,13,32,3325,32,82
490,14,32,3334,32,82
623,1,8,512,128,24
623,2,8,640,128,18
623,5,1,4368,1024,3
623,4,8,2167,128,655
623,6,2,4381,512,7
623,7,4,4171,256,14
623,8,8,4096,128,28
623,9,16,4079,64,56
623,10,32,4020,32,110
623,11,32,4029,32,110
623,12,32,4051,32,105
623,13,32,4029,32,104
623,14,32,4038,32,104
751,1,8,512,128,24
751,2,8,640,128,18
751,5,1,5392,1024,4
751,4,8,2417,128,783
751,6,2,4893,512,8
751,7,4,4939,256,17
751,8,8,4736,128,33
751,9,16,4719,64,66
751,10,32,4724,32,132
751,11,32,4733,32,132
751,12,32,4723,32,126
751,13,32,4733,32,126
751,14,32,4710,32,125
884,1,8,512,128,24
884,2,8,640,128,18
884,5,1,6416,1024,5
884,4,8,2667,128,916
884,6,2,5917,512,10
884,7,4,5451,256,19
884,8,8,5504,128,39
884,9,16,5423,64,77
884,10,32,5428,32,154
884,11,32,5437,32,154
884,12,32,5427,32,148
884,13,32,5437,32,148
884,14,32,5446,32,148
1012,1,8,512,128,24
1012,2,8,640,128,18
1012,5,1,6416,1024,5
1012,4,8,2917,128,1044
1012,6,2,6429,512,11
1012,7,4,6219,256,22
1012,8,8,6144,128,44
1012,9,16,6127,64,88
1012,10,32,6132,32,176
1012,11,32,6109,32,175
1012,12,32,6131,32,170
1012,13,32,6141,32,170
1012,14,32,6118,32,169
1145,1,8,512,128,24
1145,2,8,640,128,18
1145,5,1,7440,1024,6
1145,4,8,3167,128,1177
1145,6,2,6941,512,12
1145,7,4,6987,256,25
1145,8,8,6912,128,50
1145,9,16,6831,64,99
1145,10,32,6836,32,198
1145,11,32,6845,32,198
1145,12,32,6835,32,192
1145,13,32,6845,32,192
1145,14,32,6822,32,191
1273,1,8,512,128,24
1273,2,8,640,128,18
1273,5,1,8464,1024,7
1273,4,8,3417,128,1305
1273,6,2,7965,512,14
1273,7,4,7755,256,28
1273,8,8,7552,128,55
1273,9,16,7535,64,110
1273,10,32,7508,32,219
1273,11,32,7517,32,219
1273,12,32,7507,32,213
1273,13,32,7517,32,213
1273,14,32,7526,32,213
1406,1,8,512,128,24
1406,2,8,640,128,18
1406,5,1,8464,1024,7
1406,4,8,3667,128,1438
1406,6,2,8477,512,15
1406,7,4,8267,256,30
1406,8,8,8320,128,61
1406,9,16,8239,64,121
1406,10,32,8244,32,242
1406,11,32,8221,32,241
1406,12,32,8243,32,236
1406,13,32,8253,32,236
1406,14,32,8230,32,235
1534,1,8,512,128,24
1534,2,8,640,128,18
1534,5,1,9488,1024,8
1534,4,8,3917,128,1566
1534,6,2,8989,512,16
1534,7,4,9035,256,33
1534,8,8,8960,128,66
1534,9,16,8943,64,132
1534,10,32,8916,32,263
1534,11,32,8925,32,263
1534,12,32,8915,32,257
1534,13,32,8925,32,257
1534,14,32,8934,32,257
1667,1,8,512,128,24
1667,2,8,640,128,18
1667,5,1,10512,1024,9
1667,4,8,4167,128,1699
1667,6,2,10013,512,18
1667,7,4,9803,256,36
1667,8,8,9728,128,72
1667,9,16,9647,64,143
1667,10,32,9620,32,285
1667,11,32,9629,32,285
1667,12,32,9619,32,279
1667,13,32,9629,32,279
